Jurisdiction,Report Type,Report Date,Assessment body/bodies ,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R.1,R.2,R.3,R.4,R.5,R.6,R.7,R.8,R.9,R.10,R.11,R.12,R.13,R.14,R.15,R.16,R.17,R.18,R.19,R.20,R.21,R.22,R.23,R.24,R.25,R.26,R.27,R.28,R.29,R.30,R.31,R.32,R.33,R.34,R.35,R.36,R.37,R.38,R.39,R.40
Albania,MER+FURs,5/1/2023,MONEYVAL,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,LC,LC,C,PC,LC,,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC
Algeria,MER,7/1/2023,MENAFATF,LE,ME,LE,LE,LE,ME,ME,SE,SE,LE,LE,NC,PC,LC,LC,C,PC,NC,NC,PC,PC,PC,NC,NC,PC,NC,NC,,PC,NC,LC,PC,PC,PC,NC,NC,PC,PC,PC,LC,LC,LC,PC,C,PC,PC,PC,LC,LC,LC,NC
Andorra,MER+FURs,12/1/2021,MONEYVAL,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,ME,LC,C,LC,C,LC,LC,C,LC,LC,LC,C,LC,LC,LC,PC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,C,PC,C,LC,LC,LC,PC,LC,LC,LC,LC
Angola,MER,6/1/2023,ESAAMLG,LE,LE,LE,LE,LE,ME,LE,ME,ME,LE,LE,LC,PC,PC,LC,PC,PC,PC,NC,LC,LC,C,C,LC,C,PC,PC,LC,LC,C,PC,LC,PC,PC,NC,NC,C,C,LC,LC,LC,LC,LC,PC,C,PC,PC,PC,LC,LC,LC
Antigua and Barbuda,MER+FUR,11/1/2021,CFATF,ME,ME,LE,ME,ME,ME,LE,ME,ME,LE,LE,LC,C,LC,LC,C,PC,PC,NC,C,LC,LC,LC,C,LC,LC,LC,C,C,C,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,C,PC,LC,C,LC,LC,LC
Argentina,MER,12/1/2024,FATF/GAFILAT,ME,SE,ME,ME,ME,ME,ME,ME,ME,ME,LE,LC,C,LC,LC,LC,PC,NC,PC,C,LC,C,C,C,PC,PC,PC,PC,PC,C,C,LC,PC,PC,PC,PC,LC,C,LC,C,LC,LC,LC,LC,LC,C,LC,C,LC,C,PC
Armenia,MER+FURs,7/1/2018,MONEYVAL,ME,SE,ME,SE,SE,ME,LE,LE,SE,SE,SE,LC,LC,LC,LC,LC,LC,LC,C,C,LC,C,PC,C,C,C,C,C,C,C,C,C,LC,C,LC,LC,LC,C,PC,C,LC,PC,C,C,C,LC,LC,LC,LC,LC,C
Aruba,MER,7/1/2022,CFATF,SE,SE,SE,SE,ME,SE,ME,SE,ME,ME,LE,LC,LC,LC,C,C,LC,PC,PC,C,LC,C,C,C,C,PC,C,C,C,LC,C,C,LC,LC,PC,PC,C,C,PC,C,C,C,LC,PC,C,LC,LC,LC,LC,LC,LC
Australia,MER+FURs,3/1/2024,FATF,SE,HE,ME,ME,ME,SE,ME,ME,SE,ME,SE,PC,LC,C,C,C,C,C,LC,C,LC,LC,LC,C,LC,PC,PC,C,LC,LC,C,C,NC,NC,PC,NC,LC,PC,NC,C,C,LC,C,LC,LC,PC,C,C,C,C,C
Austria,MER+FURs,11/1/2018,FATF,ME,SE,ME,ME,ME,LE,LE,ME,SE,ME,SE,LC,LC,LC,C,C,PC,PC,PC,C,C,C,C,LC,C,C,C,LC,C,C,C,C,LC,LC,LC,LC,C,C,LC,LC,C,LC,LC,PC,LC,C,LC,LC,LC,C,LC
Azerbaijan,MER,2/1/2024,MONEYVAL,ME,SE,LE,ME,ME,ME,ME,ME,SE,ME,ME,LC,C,LC,LC,LC,LC,LC,PC,LC,LC,C,C,C,PC,PC,PC,C,LC,LC,C,LC,LC,LC,PC,LC,PC,PC,PC,C,LC,LC,LC,PC,PC,NC,LC,LC,LC,LC,LC
Bahrain,MER+FUR,5/1/2022,MENAFATF,ME,SE,SE,ME,ME,SE,ME,ME,ME,ME,ME,LC,C,LC,C,LC,LC,LC,LC,C,LC,C,LC,LC,LC,LC,LC,C,C,LC,LC,LC,PC,LC,LC,LC,LC,LC,LC,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC
Bangladesh,MER+FURs,12/1/2020,APG,ME,SE,ME,LE,LE,ME,LE,LE,SE,ME,SE,PC,LC,LC,LC,LC,C,LC,LC,LC,LC,C,LC,LC,LC,PC,C,LC,C,LC,C,C,LC,LC,PC,PC,LC,LC,LC,LC,C,LC,LC,C,LC,PC,LC,LC,LC,LC,LC
Barbados,MER+FUR,2/1/2021,CFATF,LE,ME,ME,ME,ME,LE,LE,LE,LE,LE,LE,LC,LC,LC,C,LC,LC,LC,PC,C,LC,C,LC,LC,LC,PC,LC,LC,LC,LC,C,PC,LC,PC,PC,LC,C,C,LC,LC,LC,PC,LC,LC,LC,LC,PC,LC,LC,LC,LC
Belarus,MER,12/1/2019,EAG,SE,SE,ME,ME,LE,SE,ME,ME,SE,ME,SE,LC,LC,C,C,C,LC,LC,PC,C,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,C,C,LC,LC,LC,LC,LC,LC,PC,C,C,C,LC,LC,C,LC,C,LC,LC,LC,LC
Belgium,MER+FUR,9/1/2018,FATF,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,ME,C,C,C,C,C,PC,PC,LC,C,C,C,C,PC,LC,LC,C,LC,LC,C,C,C,LC,LC,LC,LC,C,C,LC,C,C,C,C,LC,LC,C,C,LC,LC,LC,LC
Belize,MER,1/1/2025,CFATF,SE,SE,ME,ME,ME,ME,LE,ME,SE,SE,SE,C,C,C,C,C,C,C,LC,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,LC,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Benin,MER+FUR,5/1/2024,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,LC,PC,PC,LC,LC,NC,C,PC,LC,PC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,NC,NC,PC,C,NC,C,C,C,PC,LC,LC,LC,LC,C,LC,LC,LC
Bermuda,MER,1/1/2020,CFATF,HE,SE,SE,ME,SE,SE,ME,LE,SE,SE,ME,C,C,C,LC,C,LC,LC,C,C,C,C,LC,C,C,C,C,C,C,C,C,C,C,C,LC,LC,LC,C,C,C,C,C,PC,C,LC,LC,C,LC,LC,C,C
Bhutan,MER+FURs,8/1/2023,APG,LE,ME,LE,LE,LE,LE,LE,LE,ME,LE,LE,LC,LC,LC,LC,LC,LC,LC,PC,C,C,C,C,C,LC,NC,LC,LC,LC,LC,LC,LC,C,LC,PC,LC,LC,C,PC,LC,LC,PC,LC,LC,LC,LC,PC,NC,LC,LC,PC
Bolivia,MER+FUR,1/1/2025,GAFILAT,ME,SE,ME,LE,ME,ME,LE,ME,ME,ME,ME,LC,C,LC,C,LC,LC,PC,PC,C,LC,C,C,LC,C,PC,LC,C,LC,LC,LC,PC,C,LC,PC,C,LC,C,C,C,C,PC,LC,C,LC,PC,LC,LC,LC,LC,LC
Botswana,MER+FURs,1/1/2023,ESAAMLG,LE,ME,LE,LE,LE,ME,LE,LE,LE,LE,LE,LC,PC,C,LC,C,LC,LC,PC,C,LC,LC,LC,LC,NC,PC,LC,,LC,LC,C,LC,LC,LC,PC,LC,LC,C,PC,LC,LC,LC,LC,LC,LC,PC,C,LC,C,LC,LC
Brazil,MER,12/1/2023,FATF/GAFILAT,SE,SE,ME,ME,ME,ME,ME,ME,ME,ME,ME,LC,LC,LC,LC,PC,PC,LC,PC,C,LC,C,LC,C,C,PC,C,LC,LC,PC,LC,C,PC,PC,PC,PC,LC,C,PC,C,C,C,PC,LC,LC,LC,LC,LC,LC,LC,LC
British Virgin Islands,MER,2/1/2024,CFATF,ME,ME,LE,LE,ME,LE,LE,LE,ME,LE,LE,LC,C,LC,LC,C,LC,LC,NC,C,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,C,C,LC,LC,PC,LC,PC,C,PC,C,C,LC,LC,C,LC,LC,LC,LC,LC,C,LC
