Jurisdiction,Report Type,Report Date,Assessment body/bodies ,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,IO9,IO10,IO11,R.1,R.2,R.3,R.4,R.5,R.6,R.7,R.8,R.9,R.10,R.11,R.12,R.13,R.14,R.15,R.16,R.17,R.18,R.19,R.20,R.21,R.22,R.23,R.24,R.25,R.26,R.27,R.28,R.29,R.30,R.31,R.32,R.33,R.34,R.35,R.36,R.37,R.38,R.39,R.40
Tanzania,MER+FURs,9/1/2023,ESAAMLG,LE,ME,LE,LE,LE,LE,LE,ME,LE,LE,LE,PC,PC,C,LC,LC,PC,NC,NC,LC,LC,LC,PC,C,LC,PC,PC,PC,C,C,LC,C,PC,PC,PC,NC,PC,LC,NC,LC,C,PC,PC,PC,PC,PC,LC,LC,LC,C,LC
Thailand,MER+FURs,10/1/2023,APG,SE,SE,ME,LE,LE,SE,ME,SE,ME,ME,LE,LC,C,LC,LC,LC,LC,LC,PC,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,NC,PC,PC,PC,LC,LC,PC,LC,C,LC,LC,LC,LC,PC,LC,LC,C,LC,LC
The Bahamas,MER+FURs,12/1/2022,CFATF,LE,ME,ME,ME,ME,ME,LE,LE,LE,LE,LE,LC,LC,C,C,LC,LC,LC,C,C,C,LC,C,C,C,C,LC,C,LC,C,C,C,C,LC,LC,LC,C,C,C,C,C,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
The Gambia,MER,10/1/2022,GIABA,LE,LE,LE,LE,LE,LE,LE,ME,LE,LE,LE,PC,LC,PC,LC,PC,NC,NC,PC,C,PC,C,PC,PC,PC,NC,NC,PC,LC,PC,C,C,PC,LC,PC,PC,LC,LC,PC,LC,LC,LC,LC,LC,PC,PC,LC,LC,PC,LC,LC
Timor Leste,MER,11/1/2024,APG,ME,ME,LE,ME,LE,ME,ME,LE,LE,LE,LE,PC,LC,LC,LC,LC,NC,NC,NC,LC,PC,LC,LC,LC,LC,NC,LC,,LC,PC,LC,LC,PC,PC,PC,PC,PC,LC,NC,LC,C,LC,PC,PC,PC,PC,LC,LC,LC,LC,LC
Togo,MER,10/1/2022,GIABA,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,LC,PC,PC,PC,PC,C,PC,LC,PC,LC,PC,NC,PC,LC,LC,NC,PC,C,PC,PC,PC,PC,PC,C,PC,PC,C,C,PC,PC,PC,PC,LC,LC,LC,LC,LC
Tonga,MER,9/1/2021,APG,LE,ME,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,LC,PC,LC,PC,PC,NC,PC,C,NC,PC,NC,NC,LC,NC,NC,NC,NC,NC,NC,LC,NC,NC,PC,NC,PC,PC,PC,PC,LC,PC,PC,LC,PC,PC,PC,PC,PC,LC,PC
Trinidad and Tobago,MER+FUR,6/1/2019,CFATF,ME,ME,ME,ME,ME,ME,LE,LE,LE,LE,LE,LC,LC,LC,LC,C,C,LC,PC,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,PC,C,LC,PC,C,C,LC,C,C,C,PC,LC,C,PC,C,LC
Tunisia,MER+FURs,1/1/2020,MENAFATF,ME,ME,LE,LE,LE,ME,ME,ME,LE,LE,LE,LC,PC,C,LC,LC,C,LC,C,C,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,C,LC,PC,LC,LC,LC,LC,LC,LC,C,LC,LC,PC,LC,LC,LC,C,PC,C,LC
Turkey,MER+FURs,7/1/2023,FATF,SE,SE,ME,ME,ME,ME,ME,ME,ME,LE,LE,LC,LC,LC,C,LC,LC,LC,LC,C,LC,C,C,LC,LC,PC,LC,C,LC,LC,C,C,LC,C,LC,LC,C,LC,LC,C,C,LC,LC,LC,LC,LC,LC,C,C,C,LC
Turkmenistan,MER,7/1/2023,EAG,SE,SE,ME,ME,LE,ME,ME,SE,SE,ME,ME,LC,LC,LC,PC,LC,LC,LC,PC,C,LC,C,PC,C,LC,PC,PC,C,LC,LC,C,C,LC,PC,PC,PC,PC,LC,PC,C,LC,LC,LC,PC,LC,LC,LC,LC,PC,LC,PC
Turks and Caicos Islands,MER+FURs,11/1/2023,CFATF,ME,ME,LE,LE,ME,ME,LE,LE,LE,ME,ME,PC,LC,C,C,C,LC,LC,LC,C,C,C,C,LC,C,NC,LC,C,C,C,C,C,LC,C,LC,C,LC,C,C,C,C,LC,C,LC,LC,LC,PC,LC,LC,C,C
Uganda,MER+FURs,9/1/2023,ESAAMLG,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LC,LC,C,LC,C,C,PC,PC,C,LC,C,C,C,LC,PC,C,C,C,PC,C,C,LC,LC,PC,NC,NC,C,NC,C,PC,LC,C,NC,PC,LC,C,PC,PC,NC,PC
Ukraine,MER+FURs,9/1/2020,MONEYVAL,SE,ME,ME,ME,ME,SE,LE,ME,ME,ME,ME,LC,C,LC,LC,LC,PC,PC,LC,C,LC,C,LC,C,LC,PC,C,,LC,C,C,LC,LC,LC,LC,PC,LC,LC,PC,C,C,C,LC,PC,C,LC,LC,LC,LC,LC,LC
United Arab Emirates,MER+FUR,7/1/2023,MENAFATF,ME,LE,ME,ME,LE,ME,LE,ME,SE,ME,LE,LC,LC,LC,LC,LC,C,C,LC,C,LC,LC,LC,C,LC,PC,C,LC,LC,C,C,LC,LC,LC,LC,LC,C,C,LC,C,C,C,C,LC,LC,LC,C,LC,LC,C,LC
United Kingdom,MER+FUR,6/1/2022,FATF,HE,SE,ME,ME,SE,ME,SE,SE,HE,HE,HE,LC,C,C,C,C,LC,LC,C,C,LC,C,C,C,C,LC,C,LC,LC,LC,C,C,LC,LC,LC,C,C,C,C,PC,C,C,LC,LC,C,C,C,LC,C,C,LC
United States,MER+FURs,3/1/2024,FATF,SE,SE,ME,ME,LE,SE,SE,HE,HE,HE,HE,PC,C,LC,LC,C,LC,LC,LC,C,LC,LC,PC,LC,LC,LC,PC,LC,LC,LC,PC,C,NC,NC,LC,PC,LC,C,NC,C,C,LC,C,LC,LC,LC,LC,LC,LC,LC,C
