code,name,total_thefts
E09000002,Barking and Dagenham,412
E09000003,Barnet,520
E09000004,Bexley,86
E09000005,Brent,1292
E09000006,Bromley,305
E09000007,Camden,7259
E09000008,Croydon,386
E09000009,Ealing,610
E09000010,Enfield,655
E09000011,Greenwich,567
E09000012,Hackney,3663
E09000013,Hammersmith and Fulham,732
E09000014,Haringey,1826
E09000015,Harrow,545
E09000016,Havering,183
E09000017,Hillingdon,368
E09000018,Hounslow,530
E09000019,Islington,2960
E09000020,Kensington and Chelsea,1895
E09000021,Kingston upon Thames,315
E09000022,Lambeth,3554
E09000023,Lewisham,1087
E09000024,Merton,187
E09000025,Newham,3191
E09000026,Redbridge,818
E09000027,Richmond upon Thames,125
E09000028,Southwark,5157
E09000029,Sutton,92
E09000030,Tower Hamlets,2375
E09000031,Waltham Forest,1363
E09000032,Wandsworth,756
E09000033,Westminster,23845
SO18,Aviation Security (SO18) (Legacy Only),4
