"Date.and.Time","price","market_cap","total_volume","Date.and.Time.2","power.MAX..GW","power.MIN..GW","power.GUESS..GW","annualised.consumption.MAX..TWh","annualised.consumption.MIN..TWh","annualised.consumption.GUESS..TWh","Predicted","Detrended"
"2018-02-14 00:00:00 UTC",8518.269076,143645913955.803,2551515988.21609,2018-02-12,16.29218809,2.046126479,3.615943167,142.8173208,17.93634471,31.6973578,41.0584863617605,-9.36112856176052
"2018-02-15 00:00:00 UTC",9428.025607,159007423075.024,3282094240.87933,2018-02-13,15.44278261,2.064762671,3.567905111,135.3714324,18.09970957,31.27625621,41.0972628921317,-9.82100668213165
"2018-02-16 00:00:00 UTC",10112.58014,170569769073.988,4332356645.96348,2018-02-14,15.03795231,2.140864474,3.620366758,131.8226899,18.76681798,31.736135,41.1360394225027,-9.39990442250268
"2018-02-17 00:00:00 UTC",10155.27706,1.71309e+11,3141038601.33242,2018-02-15,14.22003772,2.140864474,3.553992083,124.6528506,18.76681798,31.1542946,41.1748159528738,-10.0205213528738
"2018-02-18 00:00:00 UTC",11006.64769,185692327611.288,3699819140.17471,2018-02-16,13.65245005,2.184923421,3.557324084,119.6773772,19.15303871,31.18350292,41.2135924832448,-10.0300895632448
"2018-02-19 00:00:00 UTC",10523.42931,177561296505.315,4740378626.74388,2018-02-17,13.72753236,2.196939513,3.57688776,120.3355487,19.25837177,31.3549981,41.252369013616,-9.89737091361598
"2018-02-20 00:00:00 UTC",11103.09004,187364222442.605,3486171704.86656,2018-02-18,13.865183,2.218968973,3.61275443,121.5421942,19.45148202,31.66940533,41.291145543987,-9.621740213987
"2018-02-21 00:00:00 UTC",11502.37705,194121879194.226,4225354045.179,2018-02-19,13.81512813,2.210958245,3.599711979,121.1034132,19.38125998,31.55507521,41.3299220743581,-9.77484686435814
"2018-02-22 00:00:00 UTC",9973.59212,168362084194.477,4574800113.39788,2018-02-20,13.58739336,2.174511818,3.540372714,119.1070902,19.0617706,31.03490721,41.3686986047292,-10.3337913947292
"2018-02-23 00:00:00 UTC",10032.86311,169362253983.195,4626064156.35444,2018-02-21,13.55988702,2.170109733,3.533205577,118.8659696,19.02318192,30.97208009,41.4074751351003,-10.4353950451003
"2018-02-24 00:00:00 UTC",10301.88361,173922837770.066,4009462976.49382,2018-02-22,13.87121056,2.219933617,3.614324989,121.5950317,19.45993809,31.68317285,41.4462516654714,-9.76307881547144
"2018-02-25 00:00:00 UTC",9742.62819,164497574061.059,3465387501.6657,2018-02-23,13.84408637,2.215592691,3.607257427,121.3572611,19.42188553,31.6212186,41.4850281958425,-9.86380959584246
"2018-02-26 00:00:00 UTC",9699.517182,163790896885.658,2743650278,2018-02-24,13.87779751,2.220987786,3.616041305,121.652773,19.46917893,31.69821808,41.5238047262136,-9.8255866462136
"2018-02-27 00:00:00 UTC",10355.57813,174886939893.198,3646748812.40375,2018-02-25,14.08920693,2.254821522,3.671126791,123.505988,19.76576547,32.18109745,41.5625812565846,-9.38148380658462
"2018-02-28 00:00:00 UTC",10709.38843,180884108725.43,3398119467.10627,2018-02-26,13.90787436,2.225801252,3.623878221,121.9164266,19.51137377,31.76691648,41.6013577869558,-9.83444130695576
"2018-03-01 00:00:00 UTC",10346.66493,174778709347.899,3182259829.31493,2018-02-27,14.17798576,2.26902959,3.694259272,124.2842231,19.89031338,32.38387678,41.6401343173268,-9.25625753732678
"2018-03-02 00:00:00 UTC",10859.55219,183463718171.257,2892166041.0524,2018-02-28,13.99470617,2.239697722,3.646503382,122.6775943,19.63319023,31.96524865,41.6789108476979,-9.71366219769792
"2018-03-03 00:00:00 UTC",11098.07581,187514886761.388,3031487197.13331,2018-03-01,14.20416858,2.273219861,3.703064811,124.5137418,19.9270453,32.46106614,41.7176873780689,-9.25662123806894
"2018-03-04 00:00:00 UTC",11356.0416,191899353575.24,3019436740.23881,2018-03-02,14.3088997,2.289980916,3.732228956,125.4318148,20.07397271,32.71671903,41.7564639084401,-9.03974487844008
"2018-03-05 00:00:00 UTC",11286.67629,190747933122.937,2580256309.47072,2018-03-03,14.76709876,2.363310601,3.853782262,129.4483877,20.71678073,33.78225531,41.7952404388112,-8.01298512881122
"2018-03-06 00:00:00 UTC",11526.42093,194821583687.435,2693945511.00851,2018-03-04,14.46599664,2.315122542,3.777105101,126.8089265,20.2943642,33.11010332,41.8340169691822,-8.72391364918224
"2018-03-07 00:00:00 UTC",10727.71625,181342656441.092,3618749298.78603,2018-03-05,14.72360632,2.356350117,3.846159977,129.067133,20.65576513,33.71543836,41.8727934995534,-8.15735513955338
"2018-03-08 00:00:00 UTC",9999.682486,169056252057.669,4896773758.15041,2018-03-06,14.86357158,2.378750008,3.884681426,130.2940685,20.85212257,34.05311738,41.9115700299244,-7.8584526499244
