year_month,cpi_id,cpi_name,price,start_price,index
2024-3,211905.0,"flavrd tea 15-20 bags, 30-40g",2.75,2.3,119.56521739130437
2024-4,211901.0,tea bags pkt of 80 (230g-250g),3.0,3.0,100.0
2024-4,211904.0,tea bags-2-packet of 240,2.65,2.55,103.921568627451
2024-4,211905.0,"flavrd tea 15-20 bags, 30-40g",2.5,2.3,108.69565217391306
2024-4,213003.0,coffee-instant 90 -100g jar,4.65,4.75,97.89473684210527
2024-4,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-4,213007.0,coffee sachets pack,2.1,2.0,105.0
2024-5,213007.0,coffee sachets pack,2.0,2.0,100.0
2024-5,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-5,213003.0,coffee-instant 90 -100g jar,4.65,4.75,97.89473684210527
2024-5,211904.0,tea bags-2-packet of 240,2.65,2.55,103.921568627451
2024-5,211901.0,tea bags pkt of 80 (230g-250g),3.0,3.0,100.0
2024-5,211905.0,"flavrd tea 15-20 bags, 30-40g",2.5,2.3,108.69565217391306
2024-6,211901.0,tea bags pkt of 80 (230g-250g),3.15,3.0,105.0
2024-6,211904.0,tea bags-2-packet of 240,2.1,2.55,82.3529411764706
2024-6,211905.0,"flavrd tea 15-20 bags, 30-40g",2.35,2.3,102.17391304347827
2024-6,213003.0,coffee-instant 90 -100g jar,4.65,4.75,97.89473684210527
2024-6,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-6,213007.0,coffee sachets pack,2.0,2.0,100.0
2024-7,213007.0,coffee sachets pack,2.0,2.0,100.0
2024-7,213003.0,coffee-instant 90 -100g jar,5.0,4.75,105.26315789473684
2024-7,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-7,211904.0,tea bags-2-packet of 240,1.79,2.55,70.19607843137256
2024-7,211901.0,tea bags pkt of 80 (230g-250g),3.0,3.0,100.0
2024-7,211905.0,"flavrd tea 15-20 bags, 30-40g",2.3,2.3,100.0
2024-8,211901.0,tea bags pkt of 80 (230g-250g),3.0,3.0,100.0
2024-8,211904.0,tea bags-2-packet of 240,1.6,2.55,62.7450980392157
2024-8,211905.0,"flavrd tea 15-20 bags, 30-40g",2.29,2.3,99.56521739130436
2024-8,213003.0,coffee-instant 90 -100g jar,5.05,4.75,106.3157894736842
2024-8,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-8,213007.0,coffee sachets pack,1.9,2.0,95.0
2024-9,213006.0,coffee pods pack 8-16,4.5,4.4,102.27272727272727
2024-9,211901.0,tea bags pkt of 80 (230g-250g),3.15,3.0,105.0
2024-9,211904.0,tea bags-2-packet of 240,1.79,2.55,70.19607843137256
2024-9,211905.0,"flavrd tea 15-20 bags, 30-40g",2.29,2.3,99.56521739130436
2024-9,213003.0,coffee-instant 90 -100g jar,5.05,4.75,106.3157894736842
2024-9,213007.0,coffee sachets pack,1.9,2.0,95.0
